Form,Strength,DrugName
Injectable/Injection,EQ 10MG PHOSPHATE/ML,Dexamethasone Sodium Phosphate
Injectable/Injection,EQ 10MG PHOSPHATE/ML,Dexamethasone Sodium Phosphate
Injectable/Intramuscular,10MG/VIAL,Olanzapine
Solution/Intravenous,1GM/100ML (10MG/ML),Acetaminophen
Capsule/Oral,EQ 1MG BASE,Prazosin Hydrochloride
Capsule/Oral,EQ 2MG BASE,Prazosin Hydrochloride
Capsule/Oral,EQ 5MG BASE,Prazosin Hydrochloride
Capsule/Oral,250MG,Penicillamine
Suspension/Oral,2.5MG/ML,Clobazam
Injectable/Injection,10MG/ML,Dicyclomine Hydrochloride
Cream/Topical,0.05%,Desoximetasone
Injectable/Intravenous,50MG/VIAL,Decitabine
Tablet/Oral,4MG,Methylprednisolone
Gel/Topical,1%,Diclofenac Sodium
Solution/Intravenous,5MG/10ML (0.5MG/ML),Neostigmine Methylsulfate
Solution/Intravenous,10MG/10ML (1MG/ML),Neostigmine Methylsulfate
Injectable/Injection,200MG/5.26ML (38MG/ML),Gemcitabine Hydrochloride
Injectable/Injection,1GM/26.3ML (38MG/ML),Gemcitabine Hydrochloride
Injectable/Injection,2GM/52.6ML (38MG/ML),Gemcitabine Hydrochloride
"Tablet, Extended Release/Oral",10MG,Methylphenidate Hydrochloride
"Tablet, Extended Release/Oral",20MG,Methylphenidate Hydrochloride
Solution/Intravenous,5MG/2ML (2.5MG/ML),Verapamil Hydrochloride
Solution/Intravenous,10MG/4ML (2.5MG/ML),Verapamil Hydrochloride
"Solution/Intramuscular, Intravenous",0.2MG/ML (0.2MG/ML),Glyrx-Pf
"Solution/Intramuscular, Intravenous",0.4MG/2ML (0.2MG/ML),Glyrx-Pf
"Solution/Intramuscular, Intravenous",1MG/5ML (0.2MG/ML),Glyrx-Pf
"Solution/Intramuscular, Intravenous",0.6MG/3ML (0.2MG/ML),Glyrx-Pf
Ointment/Topical,0.05%,Desonide
Solution/Intravenous,EQ 175MG BASE/17.5ML (EQ 10MG BASE/ML),Levoleucovorin Calcium
Solution/Intravenous,EQ 250MG BASE/25ML (EQ 10MG BASE/ML),Levoleucovorin Calcium
Powder/Intravenous,EQ 50MG BASE/VIAL,Levoleucovorin Calcium
Injectable/Injection,"20,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"1,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"1,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"5,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"10,000 UNITS/ML",Heparin Sodium
"Tablet, Extended Release/Oral",18MG,Methylphenidate Hydrochloride
"Tablet, Extended Release/Oral",27MG,Methylphenidate Hydrochloride
"Tablet, Extended Release/Oral",36MG,Methylphenidate Hydrochloride
"Tablet, Extended Release/Oral",54MG,Methylphenidate Hydrochloride
Injectable/Injection,100MG/VIAL,Carmustine
Capsule/Oral,EQ 50MG BASE,Doxycycline Hyclate
Capsule/Oral,EQ 100MG BASE,Doxycycline Hyclate
Capsule/Oral,75MG;25MG,Nitrofurantoin (Monohydrate/Macrocrystals)
Solution/Intravenous,5MG/2ML (2.5MG/ML),Verapamil Hydrochloride
Solution/Intravenous,10MG/4ML (2.5MG/ML),Verapamil Hydrochloride
Injectable/Injection,25MG/ML,Sodium Nitroprusside
Ointment/Topical,5%,Lidocaine
"Tablet, Extended Release/Oral",150MG,Bupropion Hydrochloride
"Tablet, Extended Release/Oral",300MG,Bupropion Hydrochloride
Injectable/Subcutaneous,EQ 30MG BASE/3ML (EQ 10MG BASE/ML),Icatibant Acetate
Capsule/Oral,5MG,Lenalidomide
Capsule/Oral,10MG,Lenalidomide
Capsule/Oral,15MG,Lenalidomide
Capsule/Oral,25MG,Lenalidomide
Solution/Oral,325MG/15ML;7.5MG/15ML,Hydrocodone Bitartrate And Acetaminophen
Cream/Topical,0.10%,Halcinonide
Solution/Drops/Ophthalmic,EQ 0.09% ACID,Bromfenac Sodium
Injectable/Injection,0.001MG/ML,Calcitriol
Tablet/Oral,25MG,Exemestane
Suspension/Oral,2.5MG/ML,Clobazam
"Tablet, Orally Disintegrating/Oral",0.125MG,Clonazepam
"Tablet, Orally Disintegrating/Oral",0.25MG,Clonazepam
"Tablet, Orally Disintegrating/Oral",0.5MG,Clonazepam
"Tablet, Orally Disintegrating/Oral",1MG,Clonazepam
"Tablet, Orally Disintegrating/Oral",2MG,Clonazepam
Tablet/Oral,200MG,Albendazole
Solution/Intravenous,5MG/2ML (2.5MG/ML),Verapamil Hydrochloride
Solution/Intravenous,10MG/4ML (2.5MG/ML),Verapamil Hydrochloride
Injectable/Injection,EQ 10MG PHOSPHATE/ML,Dexamethasone Sodium Phosphate
Capsule/Oral,667MG,Calcium Acetate
Solution/Drops/Ophthalmic,0.4%;0.3%,Fluorescein Sodium And Benoxinate Hydrochloride
Solution/Oral,1MG/ML,Sirolimus
Capsule/Oral,2MG,Nitisinone
Capsule/Oral,5MG,Nitisinone
Capsule/Oral,10MG,Nitisinone
"Tablet, Extended Release/Oral",600MG,Zileuton
"Tablet, Extended Release/Oral",EQ 7.5MG BASE,Darifenacin Hydrobromide
"Tablet, Extended Release/Oral",EQ 15MG BASE,Darifenacin Hydrobromide
Cream/Topical,0.20%,Hydrocortisone Valerate
Tablet/Oral,5MG,Olmesartan Medoxomil
Tablet/Oral,20MG,Olmesartan Medoxomil
Tablet/Oral,40MG,Olmesartan Medoxomil
Suspension/Oral,50MG/ML,Diazoxide
Tablet/Oral,EQ 60MG BASE,Fluoxetine Hydrochloride
"Tablet, Extended Release/Oral",500MG,Metformin Hydrochloride
"Tablet, Extended Release/Oral",750MG,Metformin Hydrochloride
Tablet/Oral,EQ 2.5MG BASE,Nebivolol Hydrochloride
Tablet/Oral,EQ 5MG BASE,Nebivolol Hydrochloride
Tablet/Oral,EQ 10MG BASE,Nebivolol Hydrochloride
Tablet/Oral,EQ 20MG BASE,Nebivolol Hydrochloride
Tablet/Oral,25MG,Carbidopa
Capsule/Oral,EQ 150MG BASE,Ranitidine Hydrochloride
Capsule/Oral,EQ 300MG BASE,Ranitidine Hydrochloride
Tablet/Oral,2MG;125MG,Loperamide Hydrochloride And Simethicone
Capsule/Oral,4MG,Silodosin
Capsule/Oral,8MG,Silodosin
Tablet/Oral,0.5MG,Haloperidol
Tablet/Oral,1MG,Haloperidol
Tablet/Oral,2MG,Haloperidol
Tablet/Oral,5MG,Haloperidol
Tablet/Oral,10MG,Haloperidol
Tablet/Oral,20MG,Haloperidol
Tablet/Oral,5MG,Oxybutynin Chloride
Tablet/Oral,25MG,Chlorthalidone
Tablet/Oral,50MG,Chlorthalidone
Tablet/Oral,1MG,Folic Acid
Solution/Oral,20MEQ/15ML,Potassium Chloride
Solution/Oral,40MEQ/15ML,Potassium Chloride
Tablet/Oral,EQ 600MG BASE,Azithromycin
Solution/Intramuscular,1250MG/5ML (250MG/ML),Hydroxyprogesterone Caproate
Solution/Intramuscular,250MG/ML (250MG/ML),Hydroxyprogesterone Caproate
Cream/Topical,0.05%,Clobetasol Propionate
Tablet/Oral,60MG,Fexofenadine Hydrochloride Allergy
Tablet/Oral,180MG,Fexofenadine Hydrochloride Allergy
Capsule/Oral,250MG,Trientine Hydrochloride
Solution/Intravenous,50MG/5ML (10MG/ML),Phenylephrine Hydrochloride
Solution/Intravenous,100MG/10ML (10MG/ML),Phenylephrine Hydrochloride
Solution/Intravenous,10MG/ML (10MG/ML),Phenylephrine Hydrochloride
Tablet/Oral,48MG,Fenofibrate
Tablet/Oral,145MG,Fenofibrate
Solution/Intravenous,10MG/ML (10MG/ML),Phenylephrine Hydrochloride
Solution/Intravenous,50MG/5ML (10MG/ML),Phenylephrine Hydrochloride
Solution/Intravenous,100MG/10ML (10MG/ML),Phenylephrine Hydrochloride
"Tablet, Extended Release/Oral",500MG,Ranolazine
"Tablet, Extended Release/Oral",1GM,Ranolazine
Tablet/Oral,EQ 25MG BASE,Erlotinib Hydrochloride
Tablet/Oral,EQ 100MG BASE,Erlotinib Hydrochloride
Tablet/Oral,EQ 150MG BASE,Erlotinib Hydrochloride
Injectable/Injection,EQ 500MG BASE/VIAL,Erythromycin Lactobionate
Injectable/Injection,14.9MG/ML,Potassium Chloride 10Meq
Injectable/Injection,746MG/100ML,Potassium Chloride 10Meq
Injectable/Injection,29.8MG/ML,Potassium Chloride 20Meq
Injectable/Injection,2.98GM/100ML,Potassium Chloride 40Meq
Injectable/Injection,1.49GM/100ML,Potassium Chloride 20Meq
Tablet/Oral,0.25MG,Pramipexole Dihydrochloride
Tablet/Oral,0.5MG,Pramipexole Dihydrochloride
Tablet/Oral,0.75MG,Pramipexole Dihydrochloride
Tablet/Oral,1MG,Pramipexole Dihydrochloride
Tablet/Oral,1.5MG,Pramipexole Dihydrochloride
Powder/Intravenous,EQ 1GM BASE/VIAL,Pemetrexed Disodium
Injectable/Injection,0.5MEQ/ML,Sodium Bicarbonate
Injectable/Injection,0.9MEQ/ML,Sodium Bicarbonate
Injectable/Injection,1MEQ/ML,Sodium Bicarbonate
For Suspension/Oral,EQ 10MG BASE/ML,Sildenafil Citrate
Injectable/Injection,0.50%,Bupivacaine Hydrochloride
Injectable/Intravenous,200MG/VIAL,Voriconazole
"Capsule, Extended Release/Oral",7MG,Memantine Hydrochloride
"Capsule, Extended Release/Oral",14MG,Memantine Hydrochloride
"Capsule, Extended Release/Oral",21MG,Memantine Hydrochloride
"Capsule, Extended Release/Oral",28MG,Memantine Hydrochloride
Tablet/Oral,325MG;50MG;40MG,"Butalbital, Acetaminophen And Caffeine"
Powder/Intravenous,EQ 50MG BASE/VIAL,Xerava
Powder/Intravenous,EQ 100MG BASE/VIAL,Xerava
Cream/Topical,0.10%,Fluocinonide
Tablet/Oral,200MG,Albendazole
Powder/Oral,EQ 4GM RESIN/PACKET,Cholestyramine
Powder/Oral,EQ 4GM RESIN/SCOOPFUL,Cholestyramine
Injectable/Injection,25MG/10ML (2.5MG/ML),Nicardipine Hydrochloride
Tablet/Oral,48MG,Fenofibrate
Tablet/Oral,145MG,Fenofibrate
For Suspension/Oral,EQ 6MG BASE/ML,Oseltamivir Phosphate
Cream/Topical,0.20%,Hydrocortisone Valerate
Tablet/Oral,EQ 5MG BASE,Leucovorin Calcium
Tablet/Oral,EQ 10MG BASE,Leucovorin Calcium
Tablet/Oral,EQ 15MG BASE,Leucovorin Calcium
Tablet/Oral,EQ 25MG BASE,Leucovorin Calcium
Capsule/Oral,250MG,Trientine Hydrochloride
Tablet/Oral,0.5MG,Riociguat
Tablet/Oral,1MG,Riociguat
Tablet/Oral,1.5MG,Riociguat
Tablet/Oral,2MG,Riociguat
Tablet/Oral,2.5MG,Riociguat
Tablet/Oral,5MG,Amphetamine Sulfate
Tablet/Oral,10MG,Amphetamine Sulfate
Solution/Intramuscular,1250MG/5ML (250MG/ML),Hydroxyprogesterone Caproate
"Tablet, Extended Release/Oral",EQ 25MG TARTRATE,Metoprolol Succinate
"Tablet, Extended Release/Oral",EQ 50MG TARTRATE,Metoprolol Succinate
"Tablet, Extended Release/Oral",EQ 100MG TARTRATE,Metoprolol Succinate
"Tablet, Extended Release/Oral",EQ 200MG TARTRATE,Metoprolol Succinate
Tablet/Oral,250MG,Ursodiol
Tablet/Oral,500MG,Ursodiol
Tablet/Oral,EQ 5MG BASE,Vortioxetine Hydrobromide
Tablet/Oral,EQ 10MG BASE,Vortioxetine Hydrobromide
Tablet/Oral,EQ 20MG BASE,Vortioxetine Hydrobromide
For Suspension/Oral,EQ 100MG BASE/5ML,Azithromycin
For Suspension/Oral,EQ 200MG BASE/5ML,Azithromycin
"Suspension, Extended Release/Intramuscular",39MG/0.25ML (39MG/0.25ML),Paliperidone Palmitate
"Suspension, Extended Release/Intramuscular",78MG/0.5ML (78MG/0.5ML),Paliperidone Palmitate
"Suspension, Extended Release/Intramuscular",117MG/0.75ML (117MG/0.75ML),Paliperidone Palmitate
"Suspension, Extended Release/Intramuscular",156MG/ML (156MG/ML),Paliperidone Palmitate
"Suspension, Extended Release/Intramuscular",234MG/1.5ML (156MG/ML),Paliperidone Palmitate
Tablet/Oral,EQ 4.45MG BASE,Wakix
Tablet/Oral,EQ 17.8MG BASE,Wakix
Capsule/Oral,15MG,Copiktra
Capsule/Oral,25MG,Copiktra
Powder/Intravenous,50MG/VIAL,Tigecycline
Powder/Intravenous,EQ 150MG BASE/VIAL,Fosaprepitant Dimeglumine
Capsule/Oral,4MG,Silodosin
Capsule/Oral,8MG,Silodosin
Syrup/Oral,2MG/5ML;10MG/5ML;30MG/5ML,"Brompheniramine Maleate, Pseudoephedrine Hydrochloride And Dextromethorphan Hydrobromide"
Solution/Subcutaneous,EQ 284MG BASE/1.5ML (EQ 189.3MG BASE/ML),Tegsedi
"Tablet, Delayed Release/Oral",EQ 180MG BASE,Mycophenolic Sodium
"Tablet, Delayed Release/Oral",EQ 360MG BASE,Mycophenolic Sodium
Cream/Topical,0.10%,Tazarotene
Capsule/Oral,25MG,Pregabalin
Capsule/Oral,50MG,Pregabalin
Injectable/Injection,EQ 50MG BASE/ML,Haloperidol Decanoate
Injectable/Injection,EQ 100MG BASE/ML,Haloperidol Decanoate
Tablet/Oral,60MG,Pyridostigmine Bromide
Tablet/Oral,30MG,Pyridostigmine Bromide
Powder/Intravenous,30MG/VIAL,Carfilzomib
Liquid/N/A,100% (1ML),Sterile Water For Injection
Liquid/N/A,100% (2.5ML),Sterile Water For Injection
Liquid/N/A,100% (3ML),Sterile Water For Injection
Liquid/N/A,100% (5ML),Sterile Water For Injection
Liquid/N/A,100% (10ML),Sterile Water For Injection
Injectable/Injection,EQ 1.2GM BASE/VIAL,Tobramycin Sulfate
Injectable/Injection,2.5GM/100ML;450MG/100ML,Dextrose 2.5% And Sodium Chloride 0.45% In Plastic Container
Spray/Topical,0.05%,Clobetasol Propionate
Tablet/Oral,250MG,Tibsovo
Injectable/Injection,5GM/100ML;300MG/100ML,Dextrose 5% And Sodium Chloride 0.3% In Plastic Container
Tablet/Oral,250MG,Penicillamine
"Tablet, Extended Release/Oral",300MG,Bupropion Hydrochloride
"Tablet, Extended Release/Oral",150MG,Bupropion Hydrochloride
Injectable/Injection,100MG/VIAL,Carmustine
Granule/Oral,EQ 200MG BASE/5ML,Erythromycin Ethylsuccinate
Granule/Oral,EQ 400MG BASE/5ML,Erythromycin Ethylsuccinate
Cream/Topical,0.05%,Clobetasol Propionate
"Tablet, Orally Disintegrating/Oral",7.5MG,Qmiiz Odt
"Tablet, Orally Disintegrating/Oral",15MG,Qmiiz Odt
Injectable/Injection,5GM/100ML;900MG/100ML,Dextrose 5% And Sodium Chloride 0.9%
Solution/Oral,1MG/ML,Sirolimus
Solution/Intravenous,250MG/50ML (5MG/ML),Angiomax Rtu
Injectable/Injection,5GM/100ML;225MG/100ML,Dextrose 5% And Sodium Chloride 0.225%
Liquid/N/A,100% (5ML),Sterile Water For Injection
Capsule/Oral,0.125MG,Dofetilide
Capsule/Oral,0.25MG,Dofetilide
Capsule/Oral,0.5MG,Dofetilide
Tablet/Oral,10MG,Macitentan
Tablet/Oral,150MG,Zykadia
Powder/Intravenous,175MG/VIAL,Khapzory
Powder/Intravenous,300MG/VIAL ,Khapzory
Tablet/Oral,5MG,Methadone Hydrochloride
Tablet/Oral,10MG,Methadone Hydrochloride
Injectable/Injection,100MG/VIAL,Carmustine
Tablet/Oral,EQ 75MG BASE,Sunosi
Tablet/Oral,EQ 150MG BASE,Sunosi
Capsule/Oral,250MG,Penicillamine
Tablet/Oral,25MG,Ethacrynic Acid
Injectable/Injection,0.2MG/ML,Isoproterenol Hydrochloride
Tablet/Oral,200MG,Eslicarbazepine Acetate
Tablet/Oral,400MG,Eslicarbazepine Acetate
Tablet/Oral,600MG,Eslicarbazepine Acetate
Tablet/Oral,800MG,Eslicarbazepine Acetate
Solution/Topical,0.05%,Clobetasol Propionate
Injectable/Injection,EQ 1MG BASE/ML,Norepinephrine Bitartrate
Spray/Nasal,EQ 28MG BASE,Spravato
Tablet/Oral,EQ 10MG BASE,Paroxetine Hydrochloride
Tablet/Oral,EQ 20MG BASE,Paroxetine Hydrochloride
Tablet/Oral,EQ 30MG BASE,Paroxetine Hydrochloride
Tablet/Oral,EQ 40MG BASE,Paroxetine Hydrochloride
Tablet/Oral,0.6MG,Colchicine
Capsule/Oral,250MG,Trientine Hydrochloride
Gel/Topical,1%,Diclofenac Sodium
Cream/Topical,0.05%,Clobetasol Propionate
Suspension/Oral,2.5MG/ML,Clobazam
Powder/Intravenous,50MG/VIAL,Caspofungin Acetate
Powder/Intravenous,70MG/VIAL,Caspofungin Acetate
Tablet/Oral,25MG,Pyrimethamine
For Suspension/Oral,200MG/ML,Mycophenolate Mofetil
Injectable/Injection,5GM/100ML;450MG/100ML,Dextrose 5% And Sodium Chloride 0.45%
Injectable/Injection,25MG/ML,Sodium Nitroprusside
Tablet/Oral,26.6MG;800MG,Ibuprofen And Famotidine
Tablet/Oral,EQ 50MG BASE,Reyvow
Tablet/Oral,EQ 100MG BASE,Reyvow
Tablet/Oral,EQ 200MG BASE,Reyvow
For Solution/Oral,10GM,Pizensy
Tablet/Oral,EQ 60MG BASE,Fluoxetine Hydrochloride
Tablet/Oral,300MG;300MG,Temixys
Capsule/Oral,100MG,Progesterone
Capsule/Oral,200MG,Progesterone
Injectable/Injection,0.4MG/ML,Naloxone Hydrochloride
Tablet/Oral,15MG,Vizimpro
Tablet/Oral,30MG,Vizimpro
Tablet/Oral,45MG,Vizimpro
Tablet/Oral,EQ 150MG BASE,Ranitidine Hydrochloride
Tablet/Oral,EQ 300MG BASE,Ranitidine Hydrochloride
Tablet/Oral,40MG,Isosorbide Dinitrate
"Tablet, Extended Release/Oral",500MG,Ranolazine
"Tablet, Extended Release/Oral",1GM,Ranolazine
Tablet/Oral,EQ 2.5MG BASE,Frovatriptan Succinate
System/Transdermal,0.025MG/24HR,Estradiol
System/Transdermal,0.0375MG/24HR,Estradiol
System/Transdermal,0.05MG/24HR,Estradiol
System/Transdermal,0.075MG/24HR,Estradiol
System/Transdermal,0.1MG/24HR,Estradiol
Ointment/Topical,0.05%,Clobetasol Propionate
Solution/Topical,5%,Tavaborole
Tablet/Oral,2.5MG,Tadalafil
Tablet/Oral,5MG,Tadalafil
Tablet/Oral,10MG,Tadalafil
Tablet/Oral,20MG,Tadalafil
Capsule/Oral,300MG,Ursodiol
Solution/Drops/Ophthalmic,EQ 0.37% BASE,Cystadrops
Cream/Topical,5%,Permethrin
Injectable/Injection,EQ 10MG BASE/ML,Metaraminol Bitartrate
Tablet/Oral,100MG,Lamivudine
Solution/Oral,500MG/5ML,Metformin Hydrochloride
"Capsule, Delayed Rel Pellets/Oral",EQ 20MG BASE,Duloxetine Hydrochloride
"Capsule, Delayed Rel Pellets/Oral",EQ 30MG BASE,Duloxetine Hydrochloride
"Capsule, Delayed Rel Pellets/Oral",EQ 60MG BASE,Duloxetine Hydrochloride
Capsule/Oral,100MG,Gabapentin
Capsule/Oral,300MG,Gabapentin
Capsule/Oral,400MG,Gabapentin
Ointment/Topical,0.10%,Triamcinolone Acetonide
Ointment/Topical,0.50%,Triamcinolone Acetonide
For Suspension/Oral,800MG/PACKET,Sevelamer Carbonate
For Suspension/Oral,2.4GM/PACKET,Sevelamer Carbonate
Tablet/Oral,EQ 250MG BASE,Azithromycin
Tablet/Oral,EQ 500MG BASE,Azithromycin
Tablet/Oral,25MG,Chlorthalidone
Tablet/Oral,50MG,Chlorthalidone
Spray/Nasal,5MG/SPRAY,Nayzilam
"Tablet, Extended Release/Oral",EQ 75MG BASE,Venlafaxine Hydrochloride
"Tablet, Extended Release/Oral",EQ 150MG BASE,Venlafaxine Hydrochloride
"Tablet, Extended Release/Oral",EQ 225MG BASE,Venlafaxine Hydrochloride
Tablet/Oral,60MG,Raloxifene Hydrochloride
Tablet/Oral,100MG,Labetalol Hydrochloride
Tablet/Oral,200MG,Labetalol Hydrochloride
Tablet/Oral,300MG,Labetalol Hydrochloride
Ring/Vaginal,0.015MG/24HR;0.12MG/24HR,Haloette
Solution/Oral,250MG/5ML,Gabapentin
Suspension/Oral,600MG/5ML,Felbamate
Injectable/Injection,0.2MG/ML,Glycopyrrolate
Tablet/Oral,2.5MG,Tadalafil
Tablet/Oral,5MG,Tadalafil
Tablet/Oral,10MG,Tadalafil
Tablet/Oral,20MG,Tadalafil
Suspension/Oral,EQ 1MG BASE/ML,Katerzia
Tablet/Oral,EQ 100MG BASE,Doxycycline Hyclate
Capsule/Oral,70MG,Ibrutinib
Capsule/Oral,140MG,Ibrutinib
Injectable/Injection,20MG/ML,Succinylcholine Chloride
"Tablet, Extended Release/Oral",100MG,Bupropion Hydrochloride
"Tablet, Extended Release/Oral",150MG,Bupropion Hydrochloride
"Tablet, Extended Release/Oral",200MG,Bupropion Hydrochloride
Lotion/Topical,0.05%,Clobetasol Propionate
Tablet/Oral,EQ 40MG BASE,Xospata
Tablet/Oral,1.25MG;1.25MG;1.25MG;1.25MG,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate"
Tablet/Oral,1.875MG;1.875MG;1.875MG;1.875MG,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate"
Tablet/Oral,2.5MG;2.5MG;2.5MG;2.5MG,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate"
Tablet/Oral,3.125MG;3.125MG;3.125MG;3.125MG,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate"
Tablet/Oral,3.75MG;3.75MG;3.75MG;3.75MG,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate"
Tablet/Oral,5MG;5MG;5MG;5MG,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate"
Tablet/Oral,7.5MG;7.5MG;7.5MG;7.5MG,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate"
Tablet/Oral,400MG,Sofosbuvir
Capsule/Oral,100MG,Amantadine Hydrochloride
Capsule/Oral,1GM CONTAINS AT LEAST 900MG OF THE ETHYL ESTERS OF OMEGA-3 FATTY ACIDS,Omega-3-Acid Ethyl Esters
Granule/Oral,125MG/PACKET;100MG/PACKET,Orkambi
Granule/Oral,188MG/PACKET;150MG/PACKET,Orkambi
Granule/Oral,94MG/PACKET;75MG/PACKET,Orkambi
Injectable/Injection,EQ 1MG BASE/ML,Norepinephrine Bitartrate
"Tablet, Extended Release/Oral",220MG;120MG,Naproxen Sodium And Pseudoephedrine Hydrochloride
Tablet/Oral,0.025MG;2.5MG,Diphenoxylate Hydrochloride And Atropine Sulfate
Solution/Intravenous,1MG/10ML (0.1MG/ML),Epinephrine
Capsule/Oral,25MG,Clomipramine Hydrochloride
Capsule/Oral,50MG,Clomipramine Hydrochloride
Capsule/Oral,75MG,Clomipramine Hydrochloride
Tablet/Oral,4MG,Slynd
"Tablet, Delayed Release/Oral",EQ 40MG BASE,Pantoprazole Sodium
Capsule/Oral,0.075MG,Levothyroxine Sodium
Capsule/Oral,0.15MG,Levothyroxine Sodium
Capsule/Oral,0.112MG,Levothyroxine Sodium
Solution/Intravenous,5MG/2ML (2.5MG/ML),Verapamil Hydrochloride
Solution/Intravenous,10MG/4ML (2.5MG/ML),Verapamil Hydrochloride
Solution/Intravenous,100MG/20ML (5MG/ML),Zulresso
Tablet/Oral,125MG,Acetazolamide
Tablet/Oral,250MG,Acetazolamide
Injectable/Injection,500MG/VIAL,Mycophenolate Mofetil Hydrochloride
Tablet/Oral,20MG,Hemady
Injectable/Injection,EQ 1MG BASE/ML,Norepinephrine Bitartrate
Tablet/Oral,90MG,Deferasirox
Tablet/Oral,360MG,Deferasirox
Tablet/Oral,180MG,Deferasirox
Capsule/Oral,25MG,Pregabalin
Capsule/Oral,50MG,Pregabalin
Capsule/Oral,75MG,Pregabalin
Capsule/Oral,100MG,Pregabalin
Capsule/Oral,150MG,Pregabalin
Capsule/Oral,200MG,Pregabalin
Capsule/Oral,225MG,Pregabalin
Capsule/Oral,300MG,Pregabalin
Suspension/Oral,40MG/ML,Rufinamide
"Tablet, Extended Release/Oral",600MG,Zileuton
"Spray, Metered/Nasal",0.5MG/SPRAY,Dihydroergotamine Mesylate
"Film, Extended Release/Transdermal",0.025MG/24HR,Estradiol
"Film, Extended Release/Transdermal",0.0375MG/24HR,Estradiol
"Film, Extended Release/Transdermal",0.05MG/24HR,Estradiol
"Film, Extended Release/Transdermal",0.075MG/24HR,Estradiol
"Film, Extended Release/Transdermal",0.1MG/24HR,Estradiol
Tablet/Oral,EQ 2MG BASE,Albuterol Sulfate
Tablet/Oral,EQ 4MG BASE,Albuterol Sulfate
Capsule/Oral,5MG,Meloxicam
Capsule/Oral,10MG,Meloxicam
Cream/Topical,0.05%,Clobetasol Propionate
Powder/Intravenous,350MG/VIAL,Daptomycin
"Tablet, Extended Release/Oral",EQ 400MG BASE,Quetiapine Fumarate
Solution/Oral,1MG/ML,Sirolimus
Cream/Topical,0.05%,Fluocinonide
Capsule/Oral,50MG,Celecoxib
Capsule/Oral,100MG,Celecoxib
Capsule/Oral,200MG,Celecoxib
Capsule/Oral,400MG,Celecoxib
Solution/Intravenous,10MG/ML (10MG/ML),Quzyttir
Suspension/Oral,300MG/5ML,Oxcarbazepine
Capsule/Oral,5MG;2.5MG,Chlordiazepoxide Hydrochloride And Clidinium Bromide
Injectable/Intramuscular,50MG/ML,Fulvestrant
Tablet/Oral,5MG,Solifenacin Succinate
Tablet/Oral,10MG,Solifenacin Succinate
Injectable/Injection,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,Potassium Chloride 20Meq In Dextrose 5% And Lactated Ringer'S In Plastic Container
"Tablet, Extended Release/Oral",330MG,Pregabalin
Injectable/Injection,20MG/ML,Succinylcholine Chloride
"Tablet, Extended Release/Oral",0.1MG,Clonidine Hydrochloride
Tablet/Oral,300MG,Mifepristone
Tablet/Oral,2MG;125MG,Loperamide Hydrochloride And Simethicone
Tablet/Oral,5MG,Levocetirizine Dihydrochloride
Tablet/Oral,EQ 10MG BASE,Fluoxetine Hydrochloride
Tablet/Oral,EQ 20MG BASE,Fluoxetine Hydrochloride
Injectable/Injection,30MG/ML,Ketorolac Tromethamine
Tablet/Oral,10MG,Clobazam
Tablet/Oral,20MG,Clobazam
"Aerosol, Foam/Topical",0.05%,Clobetasol Propionate
Solution/Oral,10MG/5ML,Morphine Sulfate
Solution/Oral,20MG/5ML,Morphine Sulfate
Solution/Oral,100MG/5ML,Morphine Sulfate
Tablet/Oral,0.2MG,Methylergonovine Maleate
Tablet/Oral,62.5MG,Bosentan
Tablet/Oral,125MG,Bosentan
Injectable/Injection,EQ 50MG BASE/VIAL,Melphalan Hydrochloride
Lotion/Topical,0.05%,Halobetasol Propionate
Ointment/Topical,5%,Lidocaine
For Solution/Oral,50MG/ML,Valganciclovir Hydrochloride
Capsule/Oral,5MG;2.5MG,Chlordiazepoxide Hydrochloride And Clidinium Bromide
Tablet/Oral,EQ 60MG BASE,Fluoxetine Hydrochloride
For Solution/Oral,500MG/PACKET,Vigabatrin
Tablet/Oral,0.2MG,Methylergonovine Maleate
Tablet/Oral,2MG,Levorphanol Tartrate
Tablet/Oral,325MG;2.5MG,Hydrocodone Bitartrate And Acetaminophen
Tablet/Oral,325MG;5MG,Hydrocodone Bitartrate And Acetaminophen
Tablet/Oral,325MG;7.5MG,Hydrocodone Bitartrate And Acetaminophen
Tablet/Oral,325MG;10MG,Hydrocodone Bitartrate And Acetaminophen
Emulsion/Subcutaneous,EQ 42MG BASE,Camcevi Kit
Solution/Topical,0.05%,Clobetasol Propionate
Tablet/Oral,2.5MG,Prednisone
